date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
10:23:20	14412/14412	---M-Z	200	added ('OK')	text/html	etag:W/%22feaf91a5fd0f83a952eb32d7b58f123b-gzip%22	https://forge.isxgames.com/projects/isxeve/wiki/index	C:/Users/Owner/Desktop/Eve/___metatron%20rework%20EOFY2025/IsxeveWiki/Isxeve/forge.isxgames.com/projects/isxeve/wiki/index.html	(from )
10:23:21	568/568	---M-Z	200	added ('OK')	text/plain	etag:W/%22a3c0d945c37ab11fcf50716450704eb7-gzip%22	https://forge.isxgames.com/robots.txt		(from )
10:23:21	18193/18193	---M-Z	200	added ('OK')	text/html	etag:W/%2292aeed42230390674d24a614b5629e15-gzip%22	https://forge.isxgames.com/projects/isxeve/wiki	C:/Users/Owner/Desktop/Eve/___metatron%20rework%20EOFY2025/IsxeveWiki/Isxeve/forge.isxgames.com/projects/isxeve/wiki.html	(from https://forge.isxgames.com/projects/isxeve/wiki/index)
10:23:21	13502/13502	---M-Z	200	added ('OK')	text/html	etag:W/%22a0865fef996977cbcd40c4151bfa6902-gzip%22	https://forge.isxgames.com/projects/isxeve/wiki/date_index	C:/Users/Owner/Desktop/Eve/___metatron%20rework%20EOFY2025/IsxeveWiki/Isxeve/forge.isxgames.com/projects/isxeve/wiki/date_index.html	(from https://forge.isxgames.com/projects/isxeve/wiki/index)
10:23:21	7954/7954	---M-Z	200	added ('OK')	text/html	etag:W/%22fc01a3ec0acd7b63fcb04c3b7f46cb3c-gzip%22	https://forge.isxgames.com/projects/isxeve/wiki/Activedrone_(Data_Type)	C:/Users/Owner/Desktop/Eve/___metatron%20rework%20EOFY2025/IsxeveWiki/Isxeve/forge.isxgames.com/projects/isxeve/wiki/Activedrone_(Data_Type).html	(from https://forge.isxgames.com/projects/isxeve/wiki/index)
10:23:21	8000/8000	---M-Z	200	added ('OK')	text/html	etag:W/%224fdfb5be13623bfde2415ab3d535c616-gzip%22	https://forge.isxgames.com/projects/isxeve/wiki/Agentmission_(Data_Type)	C:/Users/Owner/Desktop/Eve/___metatron%20rework%20EOFY2025/IsxeveWiki/Isxeve/forge.isxgames.com/projects/isxeve/wiki/Agentmission_(Data_Type).html	(from https://forge.isxgames.com/projects/isxeve/wiki/index)
10:23:22	9111/9111	---M-Z	200	added ('OK')	text/html	etag:W/%22196704c13f31280cce541952f04cebdf-gzip%22	https://forge.isxgames.com/projects/isxeve/wiki/Agent_(Data_Type)	C:/Users/Owner/Desktop/Eve/___metatron%20rework%20EOFY2025/IsxeveWiki/Isxeve/forge.isxgames.com/projects/isxeve/wiki/Agent_(Data_Type).html	(from https://forge.isxgames.com/projects/isxeve/wiki/index)
10:23:22	8257/8257	---M-Z	200	added ('OK')	text/html	etag:W/%22003a1953490c944b9b7cd7f87d22f6ce-gzip%22	https://forge.isxgames.com/projects/isxeve/wiki/Agent_(Top-Level_Object)	C:/Users/Owner/Desktop/Eve/___metatron%20rework%20EOFY2025/IsxeveWiki/Isxeve/forge.isxgames.com/projects/isxeve/wiki/Agent_(Top-Level_Object).html	(from https://forge.isxgames.com/projects/isxeve/wiki/index)
10:23:22	7331/7331	---M-Z	200	added ('OK')	text/html	etag:W/%22444f0ceb5afa1ed59ca35f6814d4fb59-gzip%22	https://forge.isxgames.com/projects/isxeve/wiki/Attacker_(Data_Type)	C:/Users/Owner/Desktop/Eve/___metatron%20rework%20EOFY2025/IsxeveWiki/Isxeve/forge.isxgames.com/projects/isxeve/wiki/Attacker_(Data_Type).html	(from https://forge.isxgames.com/projects/isxeve/wiki/index)
10:23:22	7179/7179	---M-Z	200	added ('OK')	text/html	etag:W/%22d1ed69ab4090218055254b3849f5f563-gzip%22	https://forge.isxgames.com/projects/isxeve/wiki/Attack_(Data_Type)	C:/Users/Owner/Desktop/Eve/___metatron%20rework%20EOFY2025/IsxeveWiki/Isxeve/forge.isxgames.com/projects/isxeve/wiki/Attack_(Data_Type).html	(from https://forge.isxgames.com/projects/isxeve/wiki/index)
10:23:22	12876/12876	---M-Z	200	added ('OK')	text/html	etag:W/%22ff35c002ec3276592d28d1a6678d3981-gzip%22	https://forge.isxgames.com/projects/isxeve/wiki/Autologin	C:/Users/Owner/Desktop/Eve/___metatron%20rework%20EOFY2025/IsxeveWiki/Isxeve/forge.isxgames.com/projects/isxeve/wiki/Autologin.html	(from https://forge.isxgames.com/projects/isxeve/wiki/index)
10:23:23	7605/7605	---M-Z	200	added ('OK')	text/html	etag:W/%221d98ccf298eb8309c8b33d00956e10fd-gzip%22	https://forge.isxgames.com/projects/isxeve/wiki/Being_(Data_Type)	C:/Users/Owner/Desktop/Eve/___metatron%20rework%20EOFY2025/IsxeveWiki/Isxeve/forge.isxgames.com/projects/isxeve/wiki/Being_(Data_Type).html	(from https://forge.isxgames.com/projects/isxeve/wiki/index)
10:23:23	7247/7247	---M-Z	200	added ('OK')	text/html	etag:W/%22c840b5a41909968c4e56e124e7507ea4-gzip%22	https://forge.isxgames.com/projects/isxeve/wiki/Being_(Top-Level_Object)	C:/Users/Owner/Desktop/Eve/___metatron%20rework%20EOFY2025/IsxeveWiki/Isxeve/forge.isxgames.com/projects/isxeve/wiki/Being_(Top-Level_Object).html	(from https://forge.isxgames.com/projects/isxeve/wiki/index)
10:23:23	11164/11164	---M-Z	200	added ('OK')	text/html	etag:W/%22938a1e38614959ac5c65f38178c2f333-gzip%22	https://forge.isxgames.com/projects/isxeve/wiki/Bookmark_(Data_Type)	C:/Users/Owner/Desktop/Eve/___metatron%20rework%20EOFY2025/IsxeveWiki/Isxeve/forge.isxgames.com/projects/isxeve/wiki/Bookmark_(Data_Type).html	(from https://forge.isxgames.com/projects/isxeve/wiki/index)
10:23:23	8968/8968	---M-Z	200	added ('OK')	text/html	etag:W/%2261ae35d4755752b155dd9a4b02baacf6-gzip%22	https://forge.isxgames.com/projects/isxeve/wiki/Category	C:/Users/Owner/Desktop/Eve/___metatron%20rework%20EOFY2025/IsxeveWiki/Isxeve/forge.isxgames.com/projects/isxeve/wiki/Category.html	(from https://forge.isxgames.com/projects/isxeve/wiki/index)
10:23:24	47575/47575	---M-Z	200	added ('OK')	text/html	etag:W/%2264e67fa7c0c5ce70d0b174a8ac2f3a83-gzip%22	https://forge.isxgames.com/projects/isxeve/wiki/ChangeLogs	C:/Users/Owner/Desktop/Eve/___metatron%20rework%20EOFY2025/IsxeveWiki/Isxeve/forge.isxgames.com/projects/isxeve/wiki/ChangeLogs.html	(from https://forge.isxgames.com/projects/isxeve/wiki/index)
10:23:24	47506/47506	---M-Z	200	added ('OK')	text/html	etag:W/%22ae7ebc510fcc77a5a482ea1df696f7b0-gzip%22	https://forge.isxgames.com/projects/isxeve/wiki/ChangeLogs_Archive_1	C:/Users/Owner/Desktop/Eve/___metatron%20rework%20EOFY2025/IsxeveWiki/Isxeve/forge.isxgames.com/projects/isxeve/wiki/ChangeLogs_Archive_1.html	(from https://forge.isxgames.com/projects/isxeve/wiki/index)
10:23:24	63828/63828	---M-Z	200	added ('OK')	text/html	etag:W/%22dc95a38cf6e49f59ed662481a5769733-gzip%22	https://forge.isxgames.com/projects/isxeve/wiki/ChangeLogs_Archive_2	C:/Users/Owner/Desktop/Eve/___metatron%20rework%20EOFY2025/IsxeveWiki/Isxeve/forge.isxgames.com/projects/isxeve/wiki/ChangeLogs_Archive_2.html	(from https://forge.isxgames.com/projects/isxeve/wiki/index)
